timestamp,goal_text,item_id,feedback,model_used,returned_item_ids,event_type,time_spent
2026-02-01T13:35:06.414809,Career 911: Your Future Job in Medicine and Healthcare,epidemic-pandemic-outbreak,down,hybrid,"healthcarejobs,what-is-social,epidemic-pandemic-outbreak,contemporary-art,dermatology,international-taxation",feedback,
2026-02-01T13:35:07.662420,Career 911: Your Future Job in Medicine and Healthcare,contemporary-art,up,hybrid,"healthcarejobs,what-is-social,epidemic-pandemic-outbreak,contemporary-art,dermatology,international-taxation",feedback,
2026-02-01T13:35:08.907886,Career 911: Your Future Job in Medicine and Healthcare,dermatology,down,hybrid,"healthcarejobs,what-is-social,epidemic-pandemic-outbreak,contemporary-art,dermatology,international-taxation",feedback,
2026-02-01T13:35:10.515024,Career 911: Your Future Job in Medicine and Healthcare,international-taxation,down,hybrid,"healthcarejobs,what-is-social,epidemic-pandemic-outbreak,contemporary-art,dermatology,international-taxation",feedback,
2026-02-02T10:01:49.987653,Arts and Humanities - Module AAA (2013J),oulad_AAA_2013J,up,hybrid,"oulad_AAA_2013J,oulad_AAA_2014J,oulad_CCC_2014B,oulad_CCC_2014J,oulad_GGG_2013J,oulad_BBB_2013J",feedback,
2026-02-02T10:01:53.653834,Arts and Humanities - Module AAA (2013J),oulad_AAA_2014J,up,hybrid,"oulad_AAA_2013J,oulad_AAA_2014J,oulad_CCC_2014B,oulad_CCC_2014J,oulad_GGG_2013J,oulad_BBB_2013J",feedback,
2026-02-02T10:01:57.031690,Arts and Humanities - Module AAA (2013J),oulad_CCC_2014B,down,hybrid,"oulad_AAA_2013J,oulad_AAA_2014J,oulad_CCC_2014B,oulad_CCC_2014J,oulad_GGG_2013J,oulad_BBB_2013J",feedback,
2026-02-02T10:01:59.556775,Arts and Humanities - Module AAA (2013J),oulad_CCC_2014J,up,hybrid,"oulad_AAA_2013J,oulad_AAA_2014J,oulad_CCC_2014B,oulad_CCC_2014J,oulad_GGG_2013J,oulad_BBB_2013J",feedback,
2026-02-02T11:05:25.069083,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,coursera_negotiation,click,tfidf,"coursera_negotiation,coursera_strategic-management,coursera_strategic-business-management-microeconomics,coursera_negotiation-skills,coursera_corp-sustainability,coursera_wharton-marketing",click,
2026-02-02T11:05:46.187648,Business and Management - Module BBB (2014J),oulad_BBB_2014J,up,tfidf,"oulad_BBB_2014J,oulad_BBB_2013J,oulad_BBB_2014B,oulad_BBB_2013B,oulad_GGG_2014J,oulad_EEE_2014J",feedback,
2026-02-06T18:00:10.456390,Science and Mathematics - Module GGG (2014B),oulad_GGG_2014J,up,tfidf,"oulad_GGG_2014B,oulad_GGG_2014J,oulad_GGG_2013J,coursera_the-science-of-well-being,oulad_BBB_2014B,oulad_EEE_2014B",feedback,
2026-02-06T18:00:12.951315,Science and Mathematics - Module GGG (2014B),oulad_GGG_2013J,down,tfidf,"oulad_GGG_2014B,oulad_GGG_2014J,oulad_GGG_2013J,coursera_the-science-of-well-being,oulad_BBB_2014B,oulad_EEE_2014B",feedback,
2026-02-06T18:00:15.410739,Science and Mathematics - Module GGG (2014B),oulad_GGG_2014J,up,tfidf,"oulad_GGG_2014B,oulad_GGG_2014J,oulad_GGG_2013J,coursera_the-science-of-well-being,oulad_BBB_2014B,oulad_EEE_2014B",feedback,
